MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190110003703,http://web.archive.org/web/20190110003703/https://twitter.com/JayInslee,23865,2019-01-10 00:37:03,0,0,0,0,0,0
20190302022533,http://web.archive.org/web/20190302022533/https://twitter.com/JayInslee,30614,2019-03-02 02:25:33,6749,6749,28.28,28.28,0.00153,0.00153
20190308163603,http://web.archive.org/web/20190308163603/https://twitter.com/jayinslee,37934,2019-03-08 16:36:03,14069,7320,58.95,23.91,0.00282,0.01285
20190311014436,http://web.archive.org/web/20190311014436/https://twitter.com/jayinslee,38521,2019-03-11 01:44:36,14656,587,61.41,1.55,0.00283,0.0029
20190313194008,https://webarchive.loc.gov/all/20190313194008/https://twitter.com/jayinslee,39336,2019-03-13 19:40:08,15471,815,64.83,2.12,0.00285,0.00343
20190326212617,https://webarchive.loc.gov/all/20190326212617/https://twitter.com/jayinslee,42186,2019-03-26 21:26:17,18321,2850,76.77,7.25,0.0028,0.00252
20190327230633,http://web.archive.org/web/20190327230633/https://twitter.com/jayinslee,42306,2019-03-27 23:06:33,18441,120,77.27,0.28,0.00278,0.0013
20190402223426,https://webarchive.loc.gov/all/20190402223426/https://twitter.com/jayinslee,43222,2019-04-02 22:34:26,19357,916,81.11,2.17,0.0027,0.00177
20190404054832,http://web.archive.org/web/20190404054832/https://twitter.com/jayinslee,43389,2019-04-04 05:48:32,19524,167,81.81,0.39,0.00268,0.00149
20190410122751,https://webarchive.loc.gov/all/20190410122751/https://twitter.com/jayinslee,44197,2019-04-10 12:27:51,20332,808,85.2,1.86,0.0026,0.00149
20190417014047,https://webarchive.loc.gov/all/20190417014047/https://twitter.com/jayinslee,46894,2019-04-17 01:40:47,23029,2697,96.5,6.1,0.00275,0.00477
20190419002329,http://web.archive.org/web/20190419002329/https://twitter.com/JayInslee,47255,2019-04-19 00:23:29,23390,361,98.01,0.77,0.00274,0.00215
