MementoTimestamp,URI-M,FollowerCount,DateTime,AbsRelative,AbsPrevRelative,PerRelative,PerPrevRelative,RateRelative,RatePrevRelative
20190207211634,http://web.archive.org/web/20190207211634/https://twitter.com/marwilliamson,2599393,2019-02-07 21:16:34,0,0,0,0,0,0
20190305072339,http://web.archive.org/web/20190305072339/https://twitter.com/marwilliamson,2602291,2019-03-05 07:23:39,2898,2898,0.11,0.11,0.00132,0.00132
20190326202815,http://web.archive.org/web/20190326202815/https://twitter.com/marwilliamson/,2605744,2019-03-26 20:28:15,6351,3453,0.24,0.13,0.00157,0.00186
20190402171452,http://web.archive.org/web/20190402171452/https://twitter.com/marwilliamson/,2605828,2019-04-02 17:14:52,6435,84,0.25,0.0,0.00138,0.00014
20190407023911,http://web.archive.org/web/20190407023911/https://twitter.com/marwilliamson,2606212,2019-04-07 02:39:11,6819,384,0.26,0.01,0.00136,0.00101
20190409184254,http://web.archive.org/web/20190409184254/https://twitter.com/marwilliamson/,2606325,2019-04-09 18:42:54,6932,113,0.27,0.0,0.00132,0.00049
20190416203309,http://web.archive.org/web/20190416203309/https://twitter.com/marwilliamson/,2607635,2019-04-16 20:33:09,8242,1310,0.32,0.05,0.0014,0.00214
20190423170644,http://web.archive.org/web/20190423170644/https://twitter.com/marwilliamson/,2608706,2019-04-23 17:06:44,9313,1071,0.36,0.04,0.00144,0.00181
20190501010249,http://web.archive.org/web/20190501010249/https://twitter.com/marwilliamson,2610044,2019-05-01 01:02:49,10651,1338,0.41,0.05,0.0015,0.00211
20190507183759,http://web.archive.org/web/20190507183759/https://twitter.com/marwilliamson,2610196,2019-05-07 18:37:59,10803,152,0.42,0.01,0.00141,0.00026
20190508230452,http://web.archive.org/web/20190508230452/http://twitter.com/marwilliamson,2610327,2019-05-08 23:04:52,10934,131,0.42,0.01,0.00141,0.00128
20190514181333,http://web.archive.org/web/20190514181333/https://twitter.com/marwilliamson,2611095,2019-05-14 18:13:33,11702,768,0.45,0.03,0.00141,0.00153
